Date,Time,"P-core 8 T0 Effective Clock [MHz]","P-core 8 T0 Usage [%]","Total CPU Usage [%]","CPU Package [¡ÆC]","CPU Package Power [W]",
25.8.2026,8:50:20.288,40.5,0.0,5.3,81,10.118,
25.8.2026,8:50:20.481,85.3,6.9,2.0,83,9.762,
25.8.2026,8:50:20.688,29.2,0.0,2.2,63,10.001,
25.8.2026,8:50:20.895,69.1,6.9,10.7,62,10.895,
25.8.2026,8:50:21.103,19.0,0.0,3.0,69,11.274,
25.8.2026,8:50:21.291,39.6,26.7,3.8,63,11.476,
25.8.2026,8:50:21.497,25.9,12.6,3.8,60,9.426,
25.8.2026,8:50:21.705,91.7,0.0,23.8,60,11.489,
25.8.2026,8:50:21.912,34.1,6.2,8.1,64,11.022,
25.8.2026,8:50:22.121,61.3,7.1,2.8,59,12.095,
25.8.2026,8:50:22.309,30.0,0.0,1.1,60,11.393,
25.8.2026,8:50:22.513,45.7,6.0,6.5,60,9.987,
25.8.2026,8:50:22.719,56.3,0.0,6.3,75,13.654,
25.8.2026,8:50:22.923,41.4,23.3,7.9,60,14.362,
25.8.2026,8:50:23.131,98.4,0.0,2.3,61,12.190,
25.8.2026,8:50:23.337,40.4,0.0,3.2,59,10.956,
25.8.2026,8:50:23.530,40.4,0.0,3.2,58,10.526,
25.8.2026,8:50:23.741,62.8,0.0,4.7,58,9.140,
25.8.2026,8:50:23.948,42.0,0.0,4.7,59,8.078,
25.8.2026,8:50:24.139,42.0,0.0,4.7,58,13.405,
25.8.2026,8:50:24.349,41.1,0.0,2.8,56,10.600,
25.8.2026,8:50:24.554,83.5,0.0,5.9,58,8.853,
25.8.2026,8:50:24.759,107.1,7.0,2.2,58,10.893,
25.8.2026,8:50:24.950,30.0,7.1,2.6,59,10.236,
25.8.2026,8:50:25.153,95.7,1.1,4.6,59,15.048,
25.8.2026,8:50:25.363,98.0,1.3,2.0,59,10.178,
25.8.2026,8:50:25.569,42.6,0.0,7.2,59,9.546,
25.8.2026,8:50:25.776,72.7,0.0,2.4,55,10.608,
25.8.2026,8:50:25.967,50.3,0.0,3.2,58,11.045,
25.8.2026,8:50:26.172,52.8,6.8,2.5,61,10.556,
25.8.2026,8:50:26.375,32.3,0.0,3.2,60,13.281,
25.8.2026,8:50:26.582,37.1,0.0,3.5,59,11.462,
25.8.2026,8:50:26.790,91.2,12.8,7.8,65,10.752,
25.8.2026,8:50:26.981,46.6,0.0,2.9,59,11.277,
