model_id,target_energy_j,target_energy_std_j,target_energy_cv_percent,target_latency_ms,target_throughput_inferences_per_sec,measurement_valid_trials,feature_depth,feature_parameter_count,feature_pattern,feature_growth_pattern,feature_channel_1,feature_pool_after_1,feature_channel_2,feature_pool_after_2,feature_channel_3,feature_pool_after_3,feature_channel_4,feature_pool_after_4,feature_channel_5,feature_pool_after_5,feature_channel_6,feature_pool_after_6,feature_channel_min,feature_channel_max,feature_channel_mean,feature_channel_std,feature_channel_sum,feature_channel_range,feature_channel_first,feature_channel_last,feature_channel_last_first_ratio,feature_pool_count,feature_conv_macs,feature_conv_flops,feature_activation_elements,feature_final_feature_map_height,feature_final_feature_map_width
0031,0.0341484522665427,0.0004582863862493,1.342041456732013,2.5540192526666665,391.5410027,3,3,142267,decreasing,late,96.0,0.0,87.0,0.0,81.0,1.0,,0.0,,0.0,,0.0,81.0,96.0,88.0,6.164414002968976,264.0,15.0,96.0,81.0,0.84375,1.0,144571392.0,289142784.0,270336.0,16.0,16.0
0032,0.041248069146102,0.0005073210549783,1.2299267953159885,3.073280132,325.3883599,3,6,563525,inverse_hourglass,early,85.0,0.0,120.0,1.0,124.0,0.0,124.0,1.0,104.0,0.0,85.0,0.0,85.0,124.0,107.0,16.950909513454825,642.0,39.0,85.0,85.0,1.0,2.0,178583040.0,357166080.0,285504.0,8.0,8.0
0033,0.0034785238803765,5.640829288334853e-05,1.6216158009311177,0.292451814,3419.375243666667,3,5,80019,decreasing,linear,60.0,1.0,54.0,1.0,46.0,1.0,38.0,1.0,31.0,1.0,,0.0,31.0,60.0,45.8,10.476640682967036,229.0,29.0,60.0,31.0,0.5166666666666667,5.0,10848744.0,21697488.0,78940.0,1.0,1.0
0034,0.2462892181387705,0.0018211936045772,0.739453240519494,18.02814924666667,55.46896133,3,6,1020472,inverse_hourglass,late,81.0,0.0,104.0,0.0,223.0,0.0,223.0,0.0,104.0,0.0,81.0,0.0,81.0,223.0,136.0,62.23075338340897,816.0,142.0,81.0,81.0,1.0,0.0,1043288064.0,2086576128.0,835584.0,32.0,32.0
0035,0.0460708435851104,0.0008212034028014,1.782479631145366,3.346301917666666,298.84322146666665,3,5,166733,hourglass,late,98.0,0.0,64.0,0.0,49.0,0.0,59.0,0.0,98.0,0.0,,0.0,49.0,98.0,73.6,20.49975609611002,368.0,49.0,98.0,98.0,1.0,0.0,169344000.0,338688000.0,376832.0,32.0,32.0
0036,0.0420195006695903,0.0023124752132452,5.503338155845292,3.125707311,319.9382902,3,4,628548,increasing,early,17.0,0.0,137.0,1.0,186.0,0.0,224.0,1.0,,0.0,,0.0,17.0,224.0,141.0,77.95190825117753,564.0,207.0,17.0,224.0,13.176470588235293,2.0,176638464.0,353276928.0,262656.0,8.0,8.0
0037,0.0572356540264239,0.0002775039106864,0.4848444827035972,4.062284414333333,246.1674338333333,3,3,205871,decreasing,linear,186.0,0.0,107.0,0.0,22.0,0.0,,0.0,,0.0,,0.0,22.0,186.0,105.0,66.9676538835479,315.0,164.0,186.0,22.0,0.11827956989247312,0.0,210253824.0,420507648.0,322560.0,32.0,32.0
0038,0.0134407090273032,0.0006603689283186,4.913200092176759,0.993611666,1006.4932172,3,4,204464,increasing,late,29.0,1.0,45.0,0.0,95.0,0.0,177.0,0.0,,0.0,,0.0,29.0,177.0,86.5,57.64329969736292,346.0,148.0,29.0,177.0,6.103448275862069,1.0,52399872.0,104799744.0,110848.0,16.0,16.0
0039,0.028094395126626,0.0017382404199403,6.18714306574606,2.1166201303333336,472.45258293333336,3,5,170569,inverse_hourglass,early,24.0,0.0,71.0,0.0,99.0,1.0,82.0,0.0,24.0,0.0,,0.0,24.0,99.0,60.0,30.71807285621935,300.0,75.0,24.0,24.0,1.0,1.0,104385024.0,208770048.0,225792.0,16.0,16.0
0040,0.0186428082928842,0.0004817817443157,2.584276664474604,1.3233583416666663,755.6566455333333,3,6,1488937,increasing,early,82.0,1.0,154.0,1.0,171.0,1.0,207.0,0.0,207.0,1.0,230.0,1.0,82.0,230.0,175.16666666666666,48.61212697351237,1051.0,148.0,82.0,230.0,2.8048780487804876,5.0,59511816.0,119023632.0,141880.0,1.0,1.0
0041,0.0045347371766918,0.0001642979600628,3.623097737776129,0.3948647276831046,2532.51335524121,3,2,95135,increasing,late,64.0,1.0,159.0,1.0,,0.0,,0.0,,0.0,,0.0,64.0,159.0,111.5,47.5,223.0,95.0,64.0,159.0,2.484375,2.0,25214976.0,50429952.0,106240.0,8.0,8.0
