id,seed,depth,pattern,growth_pattern,noise_ratio,min_channels,max_channels,channels,pools,parameter_count,onnx_path,onnx_size_bytes,created_at_utc,synflow_score,grad_norm_score,jacob_cov_score,final_accuracy,best_accuracy,final_val_loss,train_time_sec,feature_synflow_score,feature_grad_norm_score,feature_jacob_cov_score
193,2876965514137450472,6,inverse_hourglass,late,0.1,41,118,41-56-118-118-54-41,1-3-4-6,284681,model_onnx/0193.onnx,1142589,2026-09-08T11:09:37.573089+00:00,145959460.55798042,0.31697386959238943,-16.059585571289062,84.58,84.63,0.4811304465055466,745.6576614379883,145959462.49365693,0.2813589362555669,-16.0513858795166
194,7478617474960440624,5,decreasing,early,0.1,74,246,246-219-200-145-74,1-2-3-5,1244912,model_onnx/0194.onnx,4983109,2026-09-08T11:09:37.647598+00:00,106132603.17515951,0.5210566141127003,-16.051416397094727,84.65,84.65,0.4831093044281005,935.06121468544,106132607.1123991,0.4816717933905863,-16.050037384033203
198,4281966434013495157,5,inverse_hourglass,late,0.0,24,128,24-50-128-50-24,3-4,137974,model_onnx/0198.onnx,554899,2026-09-08T11:09:37.770626+00:00,4182240.541306138,0.32246823735671454,-16.066669464111328,74.65,74.65,0.7482360098838806,896.693696975708,4182240.41629076,0.3960324702285606,-16.06515884399414
200,3835542138127787494,6,uniform,early,0.1,70,70,70-70-70-70-70-70,4,223520,model_onnx/0200.onnx,897278,2026-09-08T11:09:37.850264+00:00,207445026.1973518,0.2996242899397439,-16.12432098388672,79.82,79.84,0.5970203049182892,1032.9732041358948,207445010.19540545,0.248935160735282,-16.056053161621094
223,8079884140413000553,6,hourglass,early,0.1,76,252,252-223-76-76-233-252,,1408542,model_onnx/0223.onnx,5637162,2026-09-08T11:09:38.768492+00:00,2634374085.72419,0.2896226319072675,-16.077667236328125,82.05,82.05,0.5610947952747345,1666.6855447292328,2634374085.7524114,0.2127514506912628,-16.99066162109375
258,2770658023330200856,5,increasing,late,0.05,88,157,88-89-106-132-157,2,472366,model_onnx/0258.onnx,1892249,2026-09-08T11:09:40.296189+00:00,44420783.674037874,0.2897948623774183,-16.239835739135742,83.63,83.63,0.5033799331903458,931.4076521396636,44420782.189694166,0.2281668170568715,-16.116430282592773
277,2295179022765017891,4,decreasing,late,0.1,41,150,150-87-52-41,3,182154,model_onnx/0277.onnx,730983,2026-09-08T11:09:40.975953+00:00,1061127.9780160189,0.33053912035729793,-16.049989700317383,70.08,70.08,0.8648624399185181,946.2381098270416,1061128.0400363207,0.1974245671931599,-16.212919235229492
281,6590513463448900582,4,hourglass,late,0.0,85,103,103-85-85-103,,226812,model_onnx/0281.onnx,909394,2026-09-08T11:09:41.122255+00:00,1817901.649624467,0.38431989189288623,-16.08073616027832,72.16,72.16,0.8147202464103699,952.3106491565704,1817901.4612337947,0.2423045358237832,-16.644079208374023
287,1946148182667073684,5,uniform,linear,0.05,71,71,71-71-71-71-71,1-2-3-4-5,184468,model_onnx/0287.onnx,741539,2026-09-08T11:09:41.339856+00:00,7637097.165848315,0.42828438503506855,-16.079421997070312,83.31,83.31,0.4952408483982086,723.0820541381836,7637097.162006557,0.471029710786485,-16.071441650390625
298,3455910411636713508,4,inverse_hourglass,early,0.1,64,199,64-199-199-64,,588561,model_onnx/0298.onnx,2356397,2026-09-08T11:09:41.778052+00:00,2452498.298603058,0.2680943718397332,-16.200105667114258,74.64,74.65,0.7509883026123046,1073.3851783275604,2452498.362933457,0.3437286539408163,-16.166841506958008
304,7792132736078773354,4,decreasing,linear,0.1,28,208,208-160-87-28,1,453113,model_onnx/0304.onnx,1814823,2026-09-08T11:09:41.972296+00:00,1750621.1741970778,0.4229761269402894,-17.21160888671875,75.98,76.01,0.7087210729599,925.5734949111938,1750621.1439159214,0.3773429652999849,-16.225433349609375
312,2643570985110774579,6,decreasing,late,0.05,41,118,118-94-66-53-42-41,,226698,model_onnx/0312.onnx,909769,2026-09-08T11:09:42.367348+00:00,169402351.00337577,0.29257622535237915,-16.083301544189453,75.95,75.95,0.7176024679660797,1014.281637430191,169402333.003456,0.3548425855957922,-16.164127349853516
320,6694217668768780210,5,hourglass,linear,0.05,68,226,226-140-68-143-226,4,757993,model_onnx/0320.onnx,3034766,2026-09-08T11:09:42.656145+00:00,96014296.91322675,0.3699829620251889,-16.08424186706543,81.69,81.69,0.5636084037303924,1193.8674314022064,96014281.91228452,0.4076110975852939,-16.075801849365234
325,8993199257345761530,4,decreasing,linear,0.1,95,246,246-198-141-95,1-2-3-4,818471,model_onnx/0325.onnx,3276923,2026-09-08T11:09:42.880726+00:00,5878519.050680757,0.8120646366137559,-16.071643829345703,83.63,83.7,0.4956880038261413,984.016218662262,5878519.050680757,1.370612918603185,-16.068572998046875
330,8407823811588257580,6,hourglass,linear,0.0,92,220,220-169-92-92-169-220,1,1034392,model_onnx/0330.onnx,4140781,2026-09-08T11:09:43.107474+00:00,1858369080.4213176,0.23311579699617443,-16.132627487182617,83.26,83.35,0.5297658747673034,1020.868096113205,1858369016.421594,0.2636646460792917,-16.14467430114746
348,3554358216165916204,2,uniform,linear,0.05,79,79,79-79,,59260,model_onnx/0348.onnx,238368,2026-09-08T11:09:43.804717+00:00,4450.233443647623,0.44918251110153223,-17.29526138305664,53.92,53.92,1.3005776363372803,788.2240183353424,4450.23356205225,0.5790802743075253,-16.7596378326416
364,4309777958421505400,6,increasing,early,0.1,93,252,93-161-190-212-249-252,2-5-6,1818609,model_onnx/0364.onnx,7278094,2026-09-08T11:09:44.612778+00:00,4019624707.970669,0.22120817067273574,-16.052471160888672,87.19,87.39,0.4718633626818657,1021.2408468723296,4019624515.940333,0.429747825037907,-16.049564361572266
380,196037435524592078,2,decreasing,early,0.0,38,228,228-38,2,84788,model_onnx/0380.onnx,340703,2026-09-08T11:09:45.194686+00:00,5409.035236120224,1.1177823743963422,-16.11773681640625,51.86,52.24,1.3417217292785644,882.0269386768341,5409.03512147069,1.387402979468272,-16.491239547729492
389,4907798606729433036,5,increasing,early,0.0,61,229,61-145-180-206-229,1-2-3-4,1077559,model_onnx/0389.onnx,4313695,2026-09-08T11:09:45.602996+00:00,49570542.53432506,0.34272046509355747,-16.05081558227539,85.89,85.89,0.4562413012981415,788.51056432724,49570543.53432414,0.448878716180243,-16.06389808654785
396,7443052310430820053,4,inverse_hourglass,late,0.1,86,88,86-88-88-86,1-2-4,209460,model_onnx/0396.onnx,840646,2026-09-08T11:09:45.923115+00:00,1518011.5480385423,0.4246446562282123,-16.054712295532227,80.52,80.65,0.5791396014690399,764.6057322025299,1518011.5157966018,0.7089610324519344,-16.057117462158203
410,2939965593092330684,6,inverse_hourglass,linear,0.0,48,216,48-115-216-216-115-48,1,968928,model_onnx/0410.onnx,3878917,2026-09-08T11:09:46.472901+00:00,619908068.5850394,0.32366216833824857,-16.723052978515625,84.44,84.59,0.5283710131645203,1004.0635521411896,619908052.5923485,0.2980084987313668,-16.322402954101562
414,477529332724645328,6,uniform,late,0.0,56,56,56-56-56-56-56-56,4,143538,model_onnx/0414.onnx,577350,2026-09-08T11:09:46.613264+00:00,107100233.29918694,0.32134873672121,-16.081022262573242,78.25,78.41,0.6586032517910003,894.900269985199,107100235.26733434,0.2991075765102691,-16.052413940429688
418,4887867660148940505,3,hourglass,early,0.05,96,161,161-96-161,,284593,model_onnx/0418.onnx,1140117,2026-09-08T11:09:46.782480+00:00,173846.59906855226,0.4813196070050346,-16.31305503845215,67.49,67.52,0.945430978012085,1013.1545419692992,173846.5912516117,0.3487029570210438,-16.45281219482422
422,3395135157706323767,3,hourglass,linear,0.1,54,81,81-54-81,1,81955,model_onnx/0422.onnx,329775,2026-09-08T11:09:47.006318+00:00,62828.98781660199,0.5052035434181938,-16.286836624145508,67.05,67.09,0.944175785636902,760.067754983902,62828.98671892285,0.3700400799673395,-16.76740837097168
447,3120106694787379509,3,decreasing,late,0.05,45,175,175-77-45,3,157942,model_onnx/0447.onnx,633728,2026-09-08T11:09:48.001298+00:00,90175.52467179298,0.7369828924452987,-16.22856903076172,62.79,62.79,1.0506529983520507,1011.5070343017578,90175.52649837732,0.5241610566487779,-16.08856964111328
450,6471548956454382513,6,increasing,late,0.05,48,251,48-55-77-124-185-251,1-3-4-5-6,776738,model_onnx/0450.onnx,3111045,2026-09-08T11:09:48.120612+00:00,344407829.77102894,0.29049238471624067,-16.064477920532227,85.42,85.63,0.4558811418533325,774.8275685310364,344407829.89578384,0.2559858870163853,-16.071552276611328
452,5082135254286080045,4,uniform,late,0.0,64,64,64-64-64-64,1-2-3-4,113226,model_onnx/0452.onnx,455931,2026-09-08T11:09:48.224294+00:00,898752.568704009,0.8954412150698894,-16.071163177490234,79.73,79.77,0.5939624726295472,726.3126037120819,898752.5687019825,0.3667089695244029,-16.062297821044922
473,7540089307719533033,2,uniform,linear,0.0,45,45,45-45,1-2,19990,model_onnx/0473.onnx,81724,2026-09-08T11:09:49.019429+00:00,2608.6380435824394,1.8621188908517656,-16.09832000732422,55.3,55.46,1.2760182277679444,711.9867787361145,2608.6381026506424,2.030810009081365,-16.10161781311035
481,7557288287400506712,5,inverse_hourglass,late,0.0,77,156,77-97-156-97-77,1-2-3-4,410181,model_onnx/0481.onnx,1644173,2026-09-08T11:09:49.499377+00:00,16607409.6937989,0.395425321271984,-16.074729919433594,84.21,84.34,0.4847142073154449,771.6010227203369,16607409.443798482,0.3183462430523699,-16.070236206054688
498,6829380297620618388,5,hourglass,early,0.0,83,118,118-108-83-108-118,1-2-4,395655,model_onnx/0498.onnx,1585845,2026-09-08T11:09:50.364529+00:00,30440568.65018186,0.21185478394406368,-16.069305419921875,84.17,84.29,0.4823157805919647,806.4864022731781,30440569.13455677,0.4948361697610853,-16.052936553955078
