id,seed,depth,pattern,growth_pattern,noise_ratio,min_channels,max_channels,channels,pools,parameter_count,onnx_path,onnx_size_bytes,created_at_utc
0095,1539998468830227298,2,decreasing,late,0.05,68,75,75-68,1-2,48758,model_onnx/0095.onnx,196796,2026-09-08T11:09:33.043720+00:00
0096,5704406346242943758,5,uniform,late,0.0,13,13,13-13-13-13-13,1-2-3-5,6640,model_onnx/0096.onnx,29988,2026-09-08T11:09:33.088710+00:00
0097,7355091035196621512,3,decreasing,late,0.0,60,100,100-70-60,1-2-3,104340,model_onnx/0097.onnx,419751,2026-09-08T11:09:33.148483+00:00
0098,892532595766024446,3,inverse_hourglass,late,0.1,38,47,38-47-38,2-3,33687,model_onnx/0098.onnx,136921,2026-09-08T11:09:33.189503+00:00
0099,4729051456312443771,4,inverse_hourglass,linear,0.05,53,136,53-136-136-53,2-3,298557,model_onnx/0099.onnx,1196819,2026-09-08T11:09:33.235693+00:00
0100,2915019105803406506,6,uniform,late,0.0,36,36,36-36-36-36-36-36,2-3-4-5-6,59878,model_onnx/0100.onnx,243598,2026-09-08T11:09:33.293357+00:00
0101,7823435091306279829,3,increasing,early,0.05,54,142,54-119-142,,213119,model_onnx/0101.onnx,854216,2026-09-08T11:09:33.326551+00:00
0102,2992528191104049544,4,inverse_hourglass,linear,0.1,34,155,34-155-155-34,1-2-3-4,312731,model_onnx/0102.onnx,1253957,2026-09-08T11:09:33.369554+00:00
0103,4339607656197025283,6,increasing,linear,0.1,87,201,87-107-143-164-176-201,2,1015965,model_onnx/0103.onnx,4067071,2026-09-08T11:09:33.446963+00:00
0104,6876512903144872892,3,decreasing,linear,0.0,65,106,106-86-65,1,136133,model_onnx/0104.onnx,546487,2026-09-08T11:09:33.478651+00:00
0105,73717741034818278,3,increasing,linear,0.05,96,111,96-105-111,1-2-3,199639,model_onnx/0105.onnx,800947,2026-09-08T11:09:33.514241+00:00
0106,7920706749098702449,2,uniform,late,0.1,74,74,74-74,1-2,52180,model_onnx/0106.onnx,210484,2026-09-08T11:09:33.538991+00:00
0107,6387789795531322460,3,decreasing,linear,0.05,94,110,110-99-94,2-3,185987,model_onnx/0107.onnx,746121,2026-09-08T11:09:33.580506+00:00
0108,8615557143876137332,5,hourglass,late,0.05,30,116,116-50-30-53-116,2-4-5,140009,model_onnx/0108.onnx,563260,2026-09-08T11:09:33.629573+00:00
0109,5698322635378140427,5,decreasing,early,0.05,55,105,105-100-89-83-55,3,285995,model_onnx/0109.onnx,1146759,2026-09-08T11:09:33.678587+00:00
0110,4543064581660795244,5,uniform,late,0.1,23,23,23-23-23-23-23,1-3-5,20020,model_onnx/0110.onnx,83295,2026-09-08T11:09:33.715288+00:00
0111,7693947077861724803,5,decreasing,linear,0.0,52,133,133-113-92-72-52,2-3-5,326720,model_onnx/0111.onnx,1310108,2026-09-08T11:09:33.770477+00:00
0112,4983958688068679253,6,decreasing,linear,0.1,51,220,220-203-166-110-84-51,,998572,model_onnx/0112.onnx,3997277,2026-09-08T11:09:33.859203+00:00
0113,2204719407037680615,6,increasing,late,0.0,30,83,30-32-38-49-64-83,1-3-5,114320,model_onnx/0113.onnx,460923,2026-09-08T11:09:33.904179+00:00
0114,3206951215729778632,6,increasing,late,0.05,88,200,88-89-103-129-163-200,4-6,760375,model_onnx/0114.onnx,3044929,2026-09-08T11:09:33.968862+00:00
0115,6136602760282015509,6,increasing,late,0.05,42,245,42-48-73-118-168-245,2-4-6,680350,model_onnx/0115.onnx,2725051,2026-09-08T11:09:34.029102+00:00
0116,3223605894852707995,4,uniform,early,0.05,67,67,67-67-67-67,,123960,model_onnx/0116.onnx,497986,2026-09-08T11:09:34.066245+00:00
0117,6506530860507983496,6,decreasing,late,0.05,44,111,111-87-67-54-48-44,2-3,218130,model_onnx/0117.onnx,875943,2026-09-08T11:09:34.107858+00:00
0118,5143815277475632722,3,increasing,linear,0.05,30,59,30-45-59,3,37589,model_onnx/0118.onnx,152310,2026-09-08T11:09:34.130904+00:00
0119,347719896543888649,5,inverse_hourglass,linear,0.0,95,96,95-96-96-96-95,1-2-3-4-5,334051,model_onnx/0119.onnx,1339871,2026-09-08T11:09:34.186105+00:00
0120,2450932048946963560,4,uniform,linear,0.0,38,38,38-38-38-38,1-2-4,40556,model_onnx/0120.onnx,165030,2026-09-08T11:09:34.223061+00:00
0121,585842506525593875,5,hourglass,late,0.0,79,182,182-105-79-105-182,5,500687,model_onnx/0121.onnx,2005535,2026-09-08T11:09:34.290085+00:00
0122,4963897067286303235,3,decreasing,linear,0.05,38,60,60-47-38,1-2-3,43609,model_onnx/0122.onnx,176827,2026-09-08T11:09:34.327474+00:00
0123,178600076395411059,5,decreasing,linear,0.0,83,119,119-110-101-92-83,1-4-5,374710,model_onnx/0123.onnx,1502065,2026-09-08T11:09:34.384428+00:00
0124,3182118233957738929,5,uniform,early,0.1,50,50,50-50-50-50-50,4-5,92110,model_onnx/0124.onnx,371440,2026-09-08T11:09:34.417562+00:00
0125,3816516542109905248,6,inverse_hourglass,early,0.05,46,224,46-165-224-224-163-46,5,1251204,model_onnx/0125.onnx,5008027,2026-09-08T11:09:34.509431+00:00
0126,7199079552460177927,6,increasing,late,0.1,17,51,17-18-21-27-36-51,2-5,37680,model_onnx/0126.onnx,154128,2026-09-08T11:09:34.551235+00:00
0127,6442497889882592968,6,inverse_hourglass,early,0.1,19,240,19-162-240-240-174-19,1-2-3-5,1303183,model_onnx/0127.onnx,5216606,2026-09-08T11:09:34.625772+00:00
0128,7399555307236742446,4,decreasing,linear,0.1,25,93,93-74-43-25,,103257,model_onnx/0128.onnx,415172,2026-09-08T11:09:34.659889+00:00
0129,345808734195899280,3,inverse_hourglass,early,0.1,66,103,66-103-66,1-2,125051,model_onnx/0129.onnx,502377,2026-09-08T11:09:34.688876+00:00
0130,2700523738229717947,3,uniform,linear,0.05,73,73,73-73-73,1-2-3,98852,model_onnx/0130.onnx,397799,2026-09-08T11:09:34.721659+00:00
0131,6152119269614409819,3,uniform,early,0.1,51,51,51-51-51,1-2-3,48868,model_onnx/0131.onnx,197863,2026-09-08T11:09:34.753071+00:00
0132,876581740545899371,5,hourglass,late,0.1,87,122,122-100-87-89-122,2-3-5,360553,model_onnx/0132.onnx,1445437,2026-09-08T11:09:34.803221+00:00
0133,1199462858865090077,6,hourglass,early,0.05,53,135,135-115-53-53-121-135,3-5-6,430210,model_onnx/0133.onnx,1724486,2026-09-08T11:09:34.862282+00:00
0134,2016092629106770048,3,decreasing,linear,0.0,66,239,239-152-66,2,424820,model_onnx/0134.onnx,1701243,2026-09-08T11:09:34.908074+00:00
0135,7060774540208191477,6,increasing,late,0.05,26,162,26-30-50-72-113-162,1-2-4-5,293683,model_onnx/0135.onnx,1178597,2026-09-08T11:09:34.953923+00:00
0136,4949660182654884528,6,hourglass,linear,0.1,73,252,252-168-73-73-178-252,4-6,1070341,model_onnx/0136.onnx,4284798,2026-09-08T11:09:35.048130+00:00
0137,8402042075152329274,2,increasing,linear,0.0,77,240,77-240,2,171126,model_onnx/0137.onnx,686053,2026-09-08T11:09:35.079146+00:00
0138,1554285771888250798,2,decreasing,linear,0.05,89,184,184-89,1,153525,model_onnx/0138.onnx,615651,2026-09-08T11:09:35.101346+00:00
0139,898191339655033735,2,decreasing,linear,0.0,73,207,207-73,1-2,142608,model_onnx/0139.onnx,572201,2026-09-08T11:09:35.126568+00:00
0140,457500559456442278,4,decreasing,early,0.1,56,248,248-204-165-56,3,849367,model_onnx/0140.onnx,3399844,2026-09-08T11:09:35.202870+00:00
0141,7699720759940923685,5,inverse_hourglass,late,0.0,87,158,87-105-158-105-87,3,466821,model_onnx/0141.onnx,1870066,2026-09-08T11:09:35.245852+00:00
0142,1432015986722612661,6,increasing,early,0.1,20,172,20-92-125-141-159-172,1-2-3-4-5,729567,model_onnx/0142.onnx,2922362,2026-09-08T11:09:35.294038+00:00
0143,5888278228327175062,4,uniform,linear,0.1,52,52,52-52-52-52,1-2-3,75150,model_onnx/0143.onnx,303406,2026-09-08T11:09:35.322390+00:00
0144,2792586881649465910,5,hourglass,early,0.05,68,236,236-189-68-186-236,1-2-3-5,1035657,model_onnx/0144.onnx,4146089,2026-09-08T11:09:35.395243+00:00
0145,7049585868564675162,4,decreasing,late,0.1,87,157,157-116-95-87,,343047,model_onnx/0145.onnx,1374339,2026-09-08T11:09:35.436077+00:00
0146,2073757062125407895,5,increasing,linear,0.0,84,105,84-89-94-100-105,2-3,325478,model_onnx/0146.onnx,1304916,2026-09-08T11:09:35.480705+00:00
0147,977835892658473472,6,uniform,late,0.1,64,64,64-64-64-64-64-64,1-2-3-4-6,187082,model_onnx/0147.onnx,752414,2026-09-08T11:09:35.532409+00:00
0148,3236823062245727810,3,increasing,late,0.05,57,227,57-103-227,1-2,267474,model_onnx/0148.onnx,1072072,2026-09-08T11:09:35.565513+00:00
0149,7709370079779957983,3,inverse_hourglass,early,0.1,64,140,64-140-64,1-2-3,163926,model_onnx/0149.onnx,658098,2026-09-08T11:09:35.603893+00:00
0150,7558666197569246523,4,hourglass,linear,0.1,22,209,209-22-22-209,3-4,95325,model_onnx/0150.onnx,383889,2026-09-08T11:09:35.659181+00:00
